Sentence,Sentiment
"Не будущее, а то, что прожили.",neutral
"На самом деле все меньше удовлетворения приносят те наборы благ, где их совокупное потребление не приводит к кумулятивному эффекту.",negative
"Несмотря на довольно тёплые отношения между республиками, Вильнюс, будучи председателем Организации по безопасности и сотрудничеству в Европе, признал выборы в Белоруссии не соответствующими демократическим требованиям.",mixed
"Потому что вырастить жизнь в комментариях легко, но она вам может не понравиться.",mixed
"Во-вторых, надо закрывать территориальные избирательные комиссии от переписывания протоколов.",neutral
"На этих полотнах портреты семьи, людей из ближайшего окружения, пейзажи (новая тема в творчестве Илан).",neutral
Российский филолог Марина Орлова живёт в США и является автором одного из самых популярных каналов на YouTube — HotForWords.,neutral
"Короче говоря, полный крах американских ценностей.",negative
Учёные обратились к коллегам в стране и мире.,neutral
"“Человек должен будет открыть один раз расчетный счет, предъявить паспорт, получить свой счет в НКО.",neutral
"Масла в огонь подливают ведущие, в особенности Ольга Родионова, которая очень любит прицепиться к какой-нибудь мелочёвке и допрашивать о ней с помощью наводящих и уточняющих вопросов.",negative
"Его объём составит 92,4 трлн иен (1,1 трлн долларов).",neutral
Геннадий Суворов продолжает работать старшим тренером по группе выносливости.,neutral
"Наказания за «я не понял», конечно, не последует, но атмосфера будет разрушена.",mixed
"В течение нескольких лет я неоднократно говорил о том, что мы будем действовать на территории Пакистана, если будем знать, где находится бин Ладен.",neutral
"«Стремление Китая достичь Луны в 2017 году, я думаю, что это — кое-что, о чём мы должны помнить», сказал член комитета Кен Калверт (Ken Calvert",neutral
Половину стоек будут использовать европейцы и половину американцы.,neutral
"После проведения акции, Интернет адреса, которые указывались в рекламе, просто исчезают, и остается только теоретическая возможность найти владельца исчезнувшего адреса.",negative
"Если бы президентом жюри «Кинотавра» был человек с активной гражданской позицией, победил бы «Дурак» Юрия Быкова – эмоциональный, на грани истерики, социальный плакат о честном сантехнике.",mixed
Сделка оценивается в 55 млрд долларов США.,neutral
"(Точнее, одним из нас сулили златые горы, а другим грозили расправой.)",mixed
Палата представителей должна проголосовать на следующей неделе.,neutral
Он обещал позвать на остров свою подружку и вместе с ней изучать кораллы.,neutral
"Во-вторых, сегодня учёные осознали важность публикации в хороших журналах открытого доступа и выделяют на это бюджеты подобно другим статьям расходов на подписки, конференции и др.",positive
Попробуем сконструировать групповой портрет принципиальных нечитателей Дэна Брауна.,neutral
"Рано или поздно редактор возненавидит автора, а переводчик с неприязнью возьмет в руки оригинал.",negative
"Сроки и величину падения определить сложно, но так как это август, то надо думать, что мало не покажется.",negative
"Назовите кого-нибудь, кто обладает таким успехом!",positive
"Напомним, эмбарго на импорт грузинских вин и минеральной воды Россия наложила весной 2006 года.",neutral
Удовлетворительных объяснений от Павла мы до сих пор не получили.,negative
"Так уж сложилось, слоган моего города — полное дерьмо.",negative
И по-другому уже просто не умеет.,neutral
"Но потом связь наладилась, и все вздохнули с облегчением: косморобот живой!",positive
Вариант Chrome для Mac OS X и Linux пока находится в стадии разработки.,neutral
"Кажется, скоро у него останутся только последние.",neutral
"Примерно в то же время певица выпустила пятый студийный альбом под названием""Erotica"".",neutral
"Это намного лучше, чем принимать лекарства.",positive
"Напомним, ведущие актеры Таганки накануне созвали пресс-конференцию, на которой пригласили Юрия Любимова вернуться.",neutral
Кто старое помянет — тому глаз вон.,negative
"Но праздником - то день не стал, никто не хочет его праздновать и так же охотно иронизирует по его поводу.",negative
так прокомментировала решение о сделке с Microsoft главный исполнительный директор Yahoo Кэрол Бартц.,neutral
Инфраструктуру для установки оборудования обеспечивали мы.,neutral
Упоминание достойных имен кажется кощунственным или спекулятивным.,negative
"Опыт этой операции подтверждает предположение, что эффективность евромиротворчества может оказаться даже ниже, чем у войск ООН, поскольку к реальным боевым действиям европейские войска не готовы в принципе.",negative
"А из зала все слали записки: спойте то, спойте сё.",neutral
О Тарантино не забыл прежде всего сам Михалков.,neutral
"Это вообще словами не описать, любимейший из городов.",positive
"По данным ИСДМ - Рослесхоз площадь, пройденная огнём к 12 мая, достигла 1 660 га..",neutral
Это к вопросу хотя бы о главном событии десятилетия.,neutral
Оба лота были предоставлены неизвестным американским миллиардером.,neutral
"Более того, мне совершенно насрать на срок обучения очередного выпускника философского факультета, читающего Канта в тот момент, когда я буду диктовать ему свой заказ в Мак Дональдсе: два биг тейсти и большой шоколадный молочный коктейль.",negative
"Он написал об этом в твиттере, на что Павел Дуров ответил: Группа вошла в ограничение 16384 постов за сутки.",neutral
"26-летний Дэвид Карп в старших классах школы обучался на дому, позже 4 года работал консультантом на посвящённом молодым родителям сайте UrbanBaby.",neutral
"Да вы почитайте «Воспоминание о монастыре» Жозе Сарамаго, книга как раз о дворце в Мафре.",neutral
Ранее власти этого штата США начали проведение массовой эвакуации жителей прибрежных районов - включая многочисленных туристов - в горные районы островов.,neutral
"«Исторический момент, которого народ Южного Судана ждал так долго, наступил».",positive
Сегодня наши усилия привели к успеху.,positive
Я не предлагал сокращать 200 тыс. учителей.,neutral
"… Если бы вы знали, как я несчастлив!",negative
"Погромы китайских кварталов регулярно сопровождают экономические и политические неурядицы на Филиппинах, в Индонезии, в Малайзии, во Вьетнаме, в Таиланде и т.д.",negative
В создания модуля «Колумбус» проекте участвовали 41 предприятие из 14 стран.,neutral
Кремль пускай не боится: большинство действительно народных законов мы поддержим.,positive
"К тому же, несмотря на то что ещё в 1867 году Канада стала доминионом и положение франкоговорящих жителей в нём улучшилось, она по-прежнему являлась британским владением во главе с монархом, что не вызывало у них никакого восторга.",mixed
Мы разрушили планы террористов по проведению новых атак и укрепили свою национальную безопасность.,positive
"45 лет прошло с тех пор, как первый человек совершил космический полёт.",neutral
"Я не верю, что следующий год будет хоть чуть-чуть лучше, не надо питать иллюзий.",negative
А ведь в Карелии мы работаем с 2000 года.,neutral
"""То, что пострадает часть ученных внутри России не критично""",mixed
В связи с чем вспоминается высказывание «предатель хуже врага».,negative
"На фоне катастрофического наводнения, унёсшего жизни по меньшей мере полутора тысяч и оставившего без крова более 20 млн пакистанцев, свою деятельность в регионе активизировали террористы «Аль-Каиды» и боевики «Талибана».",negative
Есть над чем подумать в ходе случившейся интермедии.,neutral
И главная неудача фильма - главный герой.,negative
"Да, судя по описаниям внешности и манеры поведения, Ирвин Уэлш имеет много общего со своими героями.",neutral
"Отсутствие света, свежего воздуха, полнейшая антисанитария, смрад, тонкие опасные сквозняки и деревянный настил в качестве спального места помогут здоровому человеку стать больным за время отсидки.",negative
"Эту статью можно свободно копировать и распространять любыми способами, полностью или частично, без искажений, в некоммерческих целях.",neutral
"Куда сложнее с темой качества, с темой развития, а значит, с темой структурных изменений в системе управления, самая мысль о которых лет пятнадцать отторгалась с порога как ересь.",negative
Между тем помимо квебекцев в стране проживает в общей сложности ещё около 1 млн франкоговорящих потомков первых поселенцев.,neutral
"Не знаю, чего хотелось, но не читать всего этого и забыть, что прочел.",negative
"Потому что «Витязи» — это наша гордость, потому что они лучшие, потому что с их полётами у меня ассоциируется лето.",positive
"Десятый по счету студийный альбом Мадонны, который назывался""Confessions on a Dance Floor""вышел в свет в 2005 году.",neutral
Хотя недавно она превратилась из экспортёра нефти в покупателя.,neutral
"Перейдя от стилизации классики к стилизации примитива, Акунин из автора стильной детективной прозы превратился в обыкновенного массового писателя, лишь немногим лучше Устиновой или Донцовой.",negative
"Брэй и Мадонна сочиняли и записывали танцевальные песни, ориентируясь на клубы Нью-Йорка.",neutral
Собрание Баварской библиотеки позволит значительно обогатить наш многоязычный проект.,positive
"заявил замминистра, напомнив, что никаких реальных доказательств наличия российских войск на Украине так и не было представлено.",neutral
Затем комиссия представит депутатам полный отчёт.,neutral
Ближайший Чемпионат мира по футболу 2014 состоится в Бразилии.,neutral
"Александр пообещал, что придёт ещё, потому что ему очень понравилось.",positive
"Правда, то, что вторая по значимости статья расходов бюджета — субсидирование цен, 15%, увы, свидетельствует о серьёзнейших структурных проблемах экономики.",negative
Как это создавалось и почему именно эта песня стала частью фильма?,neutral
"А правительство тут ни при чем, правильно тут выше говорили – половина портов в Европе без ИЛС, ДМЕ (навигационные посадочные системы – Ю.К.) и ничего, не бьются.",mixed
"Если ж брали почитать, всегда аккуратно возвращали.",positive
"11 августа 2000 года она родила от него сына, которого назвали Рокко (Rocco).",neutral
Может быть целью был вывод активов и «кидание» дольщиков и кредиторов?,negative
Посмотрела новую версию мушкетеров - сейчас буду,neutral
К тому же цифровая техника становится всё лучше и лучше.,positive
"Но также очевидно, что его использование породит массу приложений «про котиков» не слишком высокого качества.",negative
"Считается, что всё началось в 1857 году «маршем пустых кастрюль», когда в Нью-Йорке работницы текстильной промышленности собрались на манифестацию с требованиями равной с мужчинами оплаты труда и улучшения рабочих условий.",neutral
С покупкой On2 у Google обеспечивает себе будущее,positive
"Что касается HTC, то и это похоже на правду.",neutral
Хотя могут использовать как вспомогательную систему.,neutral
"Для Запада понятия «демократия», «свобода слова», «независимый суд», «права человека» и т.п. сверхценностны.",positive
"Оппозиция не представляет собой серьёзной силы, у неё нет никаких шансов на победу.",negative
Не стоит ещё и забывать о разнице в компенсационных пакетах — у всех ли российских программистов нет проблем с парковкой у офиса?,neutral
"Таким образом, тысяча показов одной страницы приносит владельцам сайта $16 + $14 + $6 = $36.",neutral
В результате максимальное число публикаций было увеличено до 64 тысяч.,neutral
"Они прячутся в стороне от дороги на Мадрид, недалеко от Хаена.",neutral
"Кроме того, в моём пятистенке (с мансардным этажом половинной площади) строить печку, которая будет в двух комнатах сразу - означает фактически полное удаление капитальной бревенчатой перегородки, что как-то кажется мне обидным.",negative
Долгожданные итоги после чуть более месяца тренировок по системе Хаду.,positive
"ВК — это, понятно, Виктор Кривулин.",neutral
"– Наши предки попали в Беларусь после революции 17-го года из-под Ржева Тверской губернии, – говорит Алексей.",neutral
Он приехал в Москву четыре месяца назад с целью прожить здесь ровно год.,neutral
"За девять лет пребывания советского контингента в Афганистане, только по официальным данным, погибли 14453 гражданина несуществующего сегодня государства.",negative
"На «Леди@Mail.ru», к примеру, количество комментариев к небольшому тексту запросто может перевалить за тысячу, причем обсуждение растянется на неделю.",neutral
"Лесин добавил, что пакет акций «Эха Москвы», принадлежащий журналистам радиостанции — это «тоже некий вымысел».",neutral
"Однако, по словам представителя ФТС, поставщики сейчас больше ориентируются на Домодедовский таможенный пост - оформление должно происходить только на Алабинском таможенном посту Центральной акцизной таможни.",neutral
"Как заявил вице-премьер Дмитрий Рогозин, помимо комиссии, занимающейся выяснением непосредственно обстоятельств аварии, по факту крушения ракеты работают еще две группы.",neutral
"Мы снимали сцену в зале заседаний, откуда Купер звонил своему босу.",neutral
сказала в интервью «Частному корреспонденту» аналитик ИК «Финам» Татьяна Менькова.,neutral
"Однако и они не помогли бы определить, откуда исходит угроза.",negative
"Среди всех ядерных держав, только США, Великобритания и СССР создавали бомбы для военных целей.",neutral
"Наконец, Google не захотела (или не смогла) войти на рынок социальных сетей за деньги — ни Facebook, ни Twitter (пока, во всяком случае) к нему не перешли, а связываться с сетями поменьше или с меньшим потенциалом IT-гиганту было, конечно, не по Page Rank.",negative
Возмущенные уволенные преподаватели даже писали открытое письмо президенту Владимиру Путину.,negative
"Кроме того, обсуждены вопросы лечения акушерских свищей и надлежащий режим для новорожденного ребёнка.",neutral
"Многочасовая операция, палата интенсивной терапии, тяжелейшее осложнение, бокс для умирающих, а затем надежда в образе профессора Абрамова из Минского военного госпиталя.",mixed
"Руководство по эксплуатации волшебной палочки: поколение ГП, из чего оно состоит?",neutral
В 1961 году ее талант оценили премией Оскар за лучшую женскую роль в фильме «Баттерфилд 8».,positive
"Я не верю никакому телевидению, я не слушаю никакого радио и не читаю никаких газет...",negative
"Всего за время существования ресурса американцы сформировали 1,8 млн обращений к своему лидеру.",neutral
"Когда я разобрался в проблеме, то мы посчитали разумным передвинуть некоторые исследовательские миссии.",neutral
Необъявленная односторонняя война Михалкова с Тарантино изначально базировалась на противостоянии двух стилей — своего рода постмодернистском неоварварстве американца и неоакадемизме русского.,neutral
"Мнение Юрия Любимова о том, что нужно делать, чтобы театр не превратился в музей самого себя, что должен уметь режиссёр и как правильно разговаривать с актёрами, читайте в статье Частного корреспондента Юрий Любимов: «Легенда — она и есть легенда»",neutral
"Предполагается, что США имеют множество секретных тюрем, куда подозреваемые транспортируются, и где они подвергаются допросам с использованием сомнительных методов, которые нарушают международные соглашения по правам человека.",negative
12 апреля 2006 года сразу два космических юбилея.,neutral
Лично мое мнение - это неправильно.,negative
"И эти данные сообщают не эксперты российской Госдумы, а ООН.",neutral
В феврале 2013 года американское издание Nutrition and Cancer выпустило исследование под названием «Чудодейственной еды не существует».,neutral
"Кроме того, хочется сравнительно быстро получить, разжигая печь, приемлемую температуру на полу, приехав в дом зимой.",neutral
"Это — хорошие новости, которые доказывают, что даже в бедных странах существуют условия для свободного выражения мнений.",positive
"ФРС и так наблюдает за развитием ситуации на всех рынках, в том числе и на развивающихся.",neutral
"Это значит, что ячейки ФПСО отзвонились в Екатеринбург и рассказали руководству региональной федерации, что происходит на местах.",neutral
"Кундра уже завел для администрации аккаунты на вебдванольных сервисах социальных сетей и блогов Facebook, Twitter, MySpace, YouTube, Vimeo, Flickr и iTunes.",neutral
"В итоге пользователь будет работать всегда с самой последней версией платформы, не прикладывая для этого усилий.",positive
"Показатели были пересмотрены в сторону резкого ухудшения: дефицит государственного бюджета не 3,7%, как заявлялось, а совсем даже 12,7%, в четыре раза больше максимально допустимых нормами еврозоны 3%.",negative
Такой удивительно искренний и простой зимний пейзаж — редкое явление в русской живописи первой половины XIX века.,positive
"И в этом северном регионе раньше мы всегда отмечали хорошие, честные, объективные выборы.",positive
Итоги проведенной аттестации ведомство подводит сегодня.,neutral
Президент России крайне недоволен низкой информационной обеспеченностью работы инновационного центра «Сколково».,negative
"Далее, в течение десяти минут участник совершает прыжки вверх-вниз с поднятыми руками, выкрикивая «Ху!» каждый раз, когда приземляется на землю на всю стопу.",neutral
Присоединиться к проекту не готовы только продавцы новых машин (за рубежом часть информации для таких баз составляют данные о техническом состоянии машин и ее обслуживании).,neutral
"Хард объёмом 250 Гб (жёсткий с компа сняла, жалко было бы инфу потерять) — 1 шт.;",neutral
"Ведерников, который более 8 лет был главным дирижёром Большого, уверен, что у театра множество творческих перспектив, реализации которых всячески противится его руководство, в лице генерального директора Анатолия Иксанова.",mixed
"Вот, скажем, коррупцию и казнокрадство сколько ни запрещай, сколько ни ужесточай меры по борьбе с этим социальным недугом — только хуже.",negative
"Ни для кого не секрет, что радиотрансляция произведения Герберта Уэллса «Война миров» в конце 40-х годов вызвала в Великобритании настоящую панику.",negative
"Сердюков на посту министра обороны доказал, что он эффективный менеджер, в том числе и в организации снабжения войск, оснащения их новыми видами вооружений и т.п.",positive
Браузер хороший: скорость работы его JavaScript-движка в 39 раз превышает скорость обработки кода веб-приложений в Internet Explorer.,positive
"И классика кино, и относительно новый артхаус, и трансляции замечательных концертов, и записи опер, и прекрасное документальное кино о всевозможных страницах истории.",positive
"Бернанке дал понять, что для завершения программ QE необходим сильный рынок труда, пишет РБК.",neutral
"Это было бы задание, которое бы меня вдохновило.",positive
Неожиданный ремонт на одном из самых активных участков столичной дороги создал невиданный транспортный коллапс.,negative
"К национальной нетерпимости примешивается и религиозный фактор, поскольку уйгуры исповедуют ислам.",negative
"Поэтому надо хоть раз, да упомянуть о своих интересах.",neutral
"Я, правда, не видела нового шестого фильма.",neutral
"Из этого документа следует, что обеспечением и оплатой медицинских услуг должны заниматься страховщики, а сбором средств с плательщиков — предприятий и местных администраций — территориальные фонды обязательного медицинского страхования (ФОМС).",neutral
"Эта линия прочная, надёжная, строго горизонтальная.",positive
"В 1987 году Мадонна снялась в фильме""Кто эта девчонка?""(Who's That Girl).",neutral
"Он пишет, что за время существования свалки зафиксирован 141 случай столкновения с птицами самолётов в окрестностях аэропорта и 21 случай столкновений непосредственно на лётном поле во время взлётно-посадочных операций.",neutral
"В нашем мире, описанном учёными прошлого в мифах про 2х2=4 или Е=МС2 теперь есть новая версия описания всего сущего, предполагающая третий полюс кроме привычных плюса и минуса.",neutral
"Я была на всех трех Руссирах, и программа этого, мне кажется, была самой сильной.",positive
Вот я смотрю — у вас ленточка.,neutral
"Отсюда сменились приоритеты при поиске людей: универсальные эникейщики не в состоянии предоставить нужного качества, поэтому их на смену пришли более узкие специалисты, которые от всей души копают в какой-то своей области.",mixed
"В опере Моцарта речь идёт об отношении к мировым религиям, в том числе и к исламу.",neutral
"Итак, экономисты судят о развитии страны, исходя из ВНД, ИЧР или какого-либо еще комплекса измеримых показателей.",neutral
"По замыслу авторов, сумма средств для перевода с использованием анонимного платежа не может превышать одной тысячи рублей в день и 15 тыс. рублей в течение месяца.",neutral
В процессе демонстрации измерялась активность в зрительной коре головного мозга с помощью функционального магниторезонансного сканера.,neutral
"И нашёл видеоролик таксиста Девеша Мишры, размещённый на YouTube.",neutral
"И он еще не самый яркий, так как его спасла непроходимая лень родителей и то, что мне попалась в свое время книжка Никитиных, где говорилось прямым текстом: мамашки, не парьтесь, делайте как вам приятно и удобно и все с дитем будет хорошо.",mixed
"2.	Труба в соседнюю комнату, опять же у самого пола.",neutral
Два года назад мы начали работу над пилотным проектом такого репозитория под названием «КиберЛенинка».,neutral
Военный сигнал это практически не задевает.,neutral
"Исторических, потому, что мы всему миру еще раз доказали демократичность нашего общества, наши достижения.",positive
"К тому же темнокожим игрокам на берегах Туманного Альбиона будет играть намного безопаснее, чем в Москве, где нередки проявления расизма.",mixed
"Белоруссия стала""упаковочным цехом""для импортеров санкционных продуктов",neutral
Объект 2003UB313 больше Плутона – наименьшей из планет.,neutral
К ним присоединяются люди со всех близлежащих сел.,neutral
"И дело вовсе не в физической смерти (Порт умирает от тифа) - это большая и окончательная точка невозврата, которую однажды пересекли оба.",negative
"В самом Афганистане в 2007 году, в канун очередной годовщины ввода ограниченного контингента, парламент страны официально осудил этот шаг:",negative
"И, соответственно, судьба Бонапарта сложилась бы по-другому.",neutral
Эта установка заставляет ребенка бояться и избегать.,negative
Виноват ли Груши и генерал Мороз,neutral
Это не какая-то особая концентрация или специальные мысли.,neutral
Хью Лори и Стивен Фрай познакомились в Кембридже и начали делать скетч-шоу Фрая и Лори.,neutral
То есть он снизился до недозволительно малой высоты в недозволительном месте.,negative
"При навигации они понимали, что если координаты выдавались вне дороги, то нужно было сместиться к дороге.",neutral
